fold,n_train_rows,n_test_rows,n_test_mutations,MAE,RMSE,R2,Spearman
1,1110,270,15,0.6983873731419158,0.9042848960800689,0.34553758637823706,0.6322293620504558
2,1110,270,15,0.6836499414933251,0.8816358712117593,0.4027576226359191,0.6798718944014065
3,1094,286,16,0.6865204381014982,0.9273806034217611,0.4842506041393494,0.7380530366954768
4,1095,285,16,0.7337545196902364,0.9730925485430382,0.37023554246292445,0.6345380561300452
5,1111,269,15,0.7078001763437549,0.9564366689278004,0.4356792045772637,0.7232148228349019
