model,n_features,MAE,RMSE,R2,Spearman,mean_per_drug_MAE,mean_per_drug_RMSE,mean_per_drug_R2,mean_per_drug_Spearman,parameters
drug_plus_structure,2,0.7037359214915748,0.9314851016465587,0.4248280407381939,0.6777774354166022,0.7038023521142801,0.9225930950716759,0.27021376801448804,0.5352924218921965,"{""bagging_temperature"": 0.5, ""depth"": 5, ""iterations"": 250, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.04, ""random_strength"": 0.5}"
drug_structure_exon,5,0.7220495584320203,0.9472525826633198,0.4051910768044501,0.6543330276062711,0.722074568347528,0.9392814124987415,0.25065938289420175,0.5294250164999083,"{""bagging_temperature"": 0.5, ""depth"": 5, ""iterations"": 250, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.04, ""random_strength"": 0.5}"
mechanism_enhanced,28,0.726449497542433,0.9566230558011047,0.39336485620555617,0.647120313770688,0.7265725919014642,0.9480094726256808,0.23607884686811087,0.53634728258023,"{""bagging_temperature"": 0.5, ""depth"": 5, ""iterations"": 250, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.04, ""random_strength"": 0.5}"
drug_plus_exon,4,0.8482464029466005,1.0820046506026704,0.2239242131933472,0.4824134298083292,0.8484462390836549,1.074708092417243,0.038977220322474,0.31206915875033436,"{""bagging_temperature"": 0.5, ""depth"": 5, ""iterations"": 250, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.04, ""random_strength"": 0.5}"
drug_only,1,0.9200976789937491,1.1632557261476495,0.10299208109272306,0.31232269797832635,0.9200370000832474,1.144209925442088,-0.03820365408632039,-0.10275215350604668,"{""bagging_temperature"": 0.5, ""depth"": 5, ""iterations"": 250, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.04, ""random_strength"": 0.5}"
