candidate,MAE,RMSE,R2,Spearman,mean_per_drug_MAE,mean_per_drug_RMSE,mean_per_drug_R2,mean_per_drug_Spearman,parameters
4,0.7021834824613993,0.9296118777043815,0.4271390654170576,0.6779362085326052,0.7022785256077069,0.9210711809338075,0.27369210457871596,0.5329279170638167,"{""bagging_temperature"": 0.5, ""depth"": 7, ""iterations"": 250, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.04, ""random_strength"": 1.0}"
3,0.7034309741425149,0.930447054310139,0.4261092701205731,0.6772021448597467,0.7035107986881133,0.9216178072105434,0.272885842105169,0.5341981967666147,"{""bagging_temperature"": 0.5, ""depth"": 6, ""iterations"": 250, ""l2_leaf_reg"": 15.0, ""learning_rate"": 0.04, ""random_strength"": 1.0}"
2,0.703581731322796,0.9302898646309711,0.4263031598841619,0.6779700216217885,0.7036742154307103,0.9215359767560913,0.27240167804656384,0.5340541126276326,"{""bagging_temperature"": 0.5, ""depth"": 5, ""iterations"": 250, ""l2_leaf_reg"": 15.0, ""learning_rate"": 0.04, ""random_strength"": 0.5}"
1,0.70604596024162,0.9343994186984635,0.421223354752042,0.6738695966534559,0.7061317639247816,0.9255896814001296,0.26711822587042744,0.5314212843547775,"{""bagging_temperature"": 0.5, ""depth"": 4, ""iterations"": 250, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.04, ""random_strength"": 0.5}"
